DEPTH,DEPT,CALI,COND,DENS,GR,NPHI,RES,SONIC,One-way time,Input interval velocity,Output interval velocity,Drift,RC,AI,Resampled AI,Input interval velocity,Output interval velocity,Calibrated sonic log,Residual drift log
983.5,983.5,-999.25,-999.25,2.021699905,22.7656002,0.575399995,-999.25,71,-33.32099533,2387183.5,2291421.5,0,-999.25,7.992333412,-999.25,2291421.5,100000,3.047999859,-17.8919754
984,984,-999.25,-999.25,2.012599945,21.9375,0.569700003,-999.25,87.90000153,-33.31599426,2387414.5,2291421.5,0,-999.25,6.120126724,-999.25,2291421.5,100000,3.047999859,-17.90153885
984.5,984.5,-999.25,-999.25,2.012399912,22.03129959,0.545400024,-999.25,87.5,-33.31099319,2387645.75,2291421.5,0,-999.25,6.155118942,-999.25,2291421.5,100000,3.047999859,-17.91110229
985,985,-999.25,-999.25,2.014499903,25.78129959,0.566200018,-999.25,93.69999695,-33.30599213,2387876.75,2291421.5,0,-999.25,5.650307655,-999.25,2291421.5,100000,3.047999859,-17.92066574
985.5,985.5,-999.25,-999.25,2.024600029,29.6406002,0.580600023,-999.25,101.4000015,-33.30099487,2388108,2291421.5,0,-999.25,5.11916399,-999.25,2291421.5,100000,3.047999859,-17.93022919
986,986,-999.25,-999.25,2.013799906,31.15629959,0.55250001,-999.25,101.5,-33.2959938,2388339,2291421.5,0,-999.25,5.11286068,-999.25,2291421.5,100000,3.047999859,-17.93979263
986.5,986.5,-999.25,-999.25,1.969300032,30.40629959,0.533800006,-999.25,89.75263248,-33.29099274,2388570.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.94935608
987,987,-999.25,-999.25,1.89260006,30.2031002,0.54519999,-999.25,91.37894836,-33.28599548,2388801.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.95891953
987.5,987.5,-999.25,-999.25,1.839699984,28.3906002,0.521000028,-999.25,93.00526424,-33.28099442,2389032.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.96848297
988,988,-999.25,-999.25,1.820500016,28.5468998,0.551100016,-999.25,94.63158013,-33.27599335,2389263.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.97804642
988.5,988.5,-999.25,-999.25,1.846600056,26.53120041,0.548200011,-999.25,96.25789601,-33.27099228,2389494.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.98761177
989,989,-999.25,-999.25,1.905799985,28.6875,0.594200015,-999.25,97.88421189,-33.26599503,2389725.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.99717522
989.5,989.5,-999.25,-999.25,1.985000014,28.2656002,0.592499971,-999.25,99.51052778,-33.26099396,2389956.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.00673866
990,990,-999.25,-999.25,2.036200047,29.4531002,0.537500024,-999.25,101.1368437,-33.25599289,2390188,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.01630211
990.5,990.5,-999.25,-999.25,2.0473001,27.75,0.499799997,-999.25,102.7631595,-33.25099564,2390419,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.02586555
991,991,-999.25,-999.25,2.036200047,24.7343998,0.451999992,-999.25,104.3894754,-33.24599457,2390650.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.035429
991.5,991.5,-999.25,-999.25,2.033200026,21.6875,0.516600013,-999.25,106.0157913,-33.2409935,2390881.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.04499245
992,992,-999.25,-999.25,2.031199932,21.3906002,0.55430001,-999.25,107.6421072,-33.23599625,2391112.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.05455589
992.5,992.5,-999.25,-999.25,1.903100014,21.25,0.566500008,-999.25,109.2684231,-33.23099518,2391343.5,2291421.5,0,-999.25,8.92E+15,-999.25,2291421.5,100000,3.047999859,-18.06411934
993,993,-999.25,-999.25,2.078999996,20.3125,0.537500024,-999.25,110.894739,-33.22599411,2391574.75,2291421.5,0,-999.25,1.39E+16,-999.25,2291421.5,100000,3.047999859,-18.07368279
993.5,993.5,-999.25,-999.25,2.269000053,17.8593998,0.546999991,-999.25,112.5210548,-33.22099304,2391805.75,2291421.5,0,-999.25,2.15E+16,-999.25,2291421.5,100000,3.047999859,-18.08324623
